Title,Score,Progress,Type
'Hagane no Renkinjutsushi: Fullmetal Alchemist,0,64,TV
Hunter x Hunter (2011),0,148,TV
3-gatsu no Lion 2,0,22,TV
Steins;Gate,0,24,TV
Shingeki no Kyojin 3 Part 2,0,10,TV
Gintama°,0,51,TV
Owarimonogatari (Ge),0,7,TV
Gintama',0,51,TV
Koe no Katachi,0,1,Movie
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,0,10,TV
Gintama': Enchousen,0,13,TV
Ginga Eiyuu Densetsu,0,110,OVA
Mob Psycho 100 II,0,13,TV
Kimi no Na wa.,0,1,Movie
Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,0,1,Movie
Haikyuu!! 2,0,25,TV
Monogatari Series: Second Season,0,26,TV
Clannad: After Story,0,24,TV
Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,0,12,TV
Kizumonogatari III: Reiketsu-hen,0,1,Movie
Gintama.,0,12,TV
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,0,12,TV
Mushishi Zoku Shou 2,0,10,TV
Sen to Chihiro no Kamikakushi,0,1,Movie
Vinland Saga,0,24,TV
Kimetsu no Yaiba,0,26,TV
Cowboy Bebop,0,26,TV
Code Geass: Hangyaku no Lelouch R2,0,25,TV
Made in Abyss,0,13,TV
Suzumiya Haruhi no Shoushitsu,0,1,Movie
Mushishi Zoku Shou,0,10,TV
ARIA The ORIGINATION,0,13,TV
Hajime no Ippo,0,75,TV
Monster,0,74,TV
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,0,14,TV
Mushishi,0,26,TV
Fate/stay night [Heaven's Feel] II. lost butterfly,0,1,Movie
Yakusoku no Neverland,0,12,TV
Haikyuu!! TO THE TOP,0,13,TV
Natsume Yuujinchou Shi,0,13,TV
Fate/Zero 2nd Season,0,12,TV
Kizumonogatari II: Nekketsu-hen,0,1,Movie
Shigatsu wa Kimi no Uso,0,22,TV
Tengen Toppa Gurren Lagann,0,27,TV
Mononoke-hime,0,1,Movie
Gintama.: Shirogane no Tamashii-hen,0,12,TV
Ping Pong the Animation,0,11,TV
Natsume Yuujinchou Roku,0,11,TV
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,0,1,Movie
Yojouhan Shinwa Taikei,0,11,TV
Ookami Kodomo no Ame to Yuki,0,1,Movie
JoJo no Kimyou na Bouken: Ougon no Kaze,0,39,TV
Gintama,0,201,TV
Haikyuu!!,0,25,TV
Kono Subarashii Sekai ni Shukufuku wo! Kurenai Densetsu,0,1,Movie
Chihayafuru 3,0,24,TV
Sora yori mo Tooi Basho,0,13,TV
Hajime no Ippo: New Challenger,0,26,TV
Shin Seiki Evangelion Movie: THE END OF EVANGELION,0,1,Movie
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,0,39,TV
Zoku Owarimonogatari,0,6,OVA
Shouwa Genroku Rakugo Shinjuu,0,13,TV
Shingeki no Kyojin 3,0,12,TV
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,0,4,OVA
Code Geass: Hangyaku no Lelouch,0,25,TV
Ashita no Joe 2,0,47,TV
Saiki Kusuo no Ψ-nan 2,0,24,TV
Mushishi Zoku Shou: Suzu no Shizuku,0,1,Movie
Natsume Yuujinchou San,0,13,TV
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,0,26,TV
Great Teacher Onizuka,0,43,TV
Owarimonogatari,0,12,TV
Tenki no Ko,0,1,Movie
Mob Psycho 100,0,12,TV
Kimi no Suizou wo Tabetai,0,1,Movie
Ansatsu Kyoushitsu 2,0,25,TV
One Punch Man,0,12,TV
Bakuman. 3,0,25,TV
Violet Evergarden,0,13,TV
Natsume Yuujinchou Go,0,11,TV
Hajime no Ippo: Rising,0,25,TV
Zoku Natsume Yuujinchou,0,13,TV
Tengen Toppa Gurren Lagann Movie: Lagann-hen,0,1,Movie
Kara no Kyoukai: Mujun Rasen,0,1,Movie
3-gatsu no Lion,0,22,TV
Boku no Hero Academia 2,0,25,TV
Made in Abyss: Fukaki Tamashii no Reimei,0,1,Movie
Mushishi Special: Hihamukage,0,1,Special
Perfect Blue,0,1,Movie
Chihayafuru 2,0,25,TV
Howl no Ugoku Shiro,0,1,Movie
One Piece,0,931,TV
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,0,1,Movie
Death Note,0,37,TV
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,0,12,TV
Samurai Champloo,0,26,TV
Boku no Hero Academia 3,0,25,TV
Kizumonogatari I: Tekketsu-hen,0,1,Movie
Given,0,11,TV
Saiki Kusuo no Ψ-nan,0,120,TV
Boku no Pico,0,1,OVA
Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi,0,1,OVA
Pico to Chico,0,1,OVA
Skirt no Naka wa Kedamono Deshita.,0,12,ONA
A Kite,0,2,OVA
Omiai Aite wa Oshiego, Tsuyoki na, Mondaiji.,0,12,TV
Pico x CoCo x Chico,0,1,OVA
Euphoria,0,6,OVA
Eroge! H mo Game mo Kaihatsu Zanmai,0,6,OVA
